uid	username	nodes	cur nodes	ways	cur ways	relations	cur rels	first	last	days active	total edits	current objects	avg edits/day
261620	shafr	0	0	0	0	24	0	04/25/2010	11/26/2010	215	24	0	0.11162790697674418
376561	weggelegd	0	0	0	0	24	0	01/05/2011	08/23/2011	230	24	0	0.10434782608695652
48581	Seat Ibiza	0	0	0	0	24	0	03/21/2009	04/02/2010	377	24	0	0.0636604774535809
152744	skyper	0	0	4	0	19	0	05/18/2010	06/09/2010	22	23	0	1.0454545454545454
138477	Dutch Hoekstra	0	0	23	3	0	0	07/04/2009	07/04/2009	1	23	3	23
36694	neufeind	15	0	8	4	0	0	07/31/2008	09/28/2009	424	23	4	0.054245283018867926
200402	BMV	23	1	0	0	0	0	11/22/2009	11/22/2009	1	23	1	23
30099	Clinton Gladstone	0	0	0	0	23	0	04/01/2009	04/03/2009	2	23	0	11.5
20000	Marijn	22	19	0	0	0	0	08/23/2009	06/17/2011	663	22	19	0.033182503770739065
5926	c2r	0	0	0	0	22	0	02/21/2010	02/25/2010	4	22	0	5.5
119785	trekki	18	18	3	3	0	0	06/19/2010	06/19/2010	1	21	21	21
156981	tgbit	16	6	4	0	0	0	06/27/2010	06/27/2010	1	20	6	20
506256	Blauwe Fiets	16	11	4	3	0	0	08/17/2011	09/04/2011	19	20	14	1.0526315789473684
8335	UrSuS	0	0	0	0	20	0	09/29/2008	10/13/2009	379	20	0	0.052770448548812667
236926	cpreuss	19	9	1	0	0	0	09/30/2010	09/30/2010	1	20	9	20
187610	Emilien	14	2	5	1	0	0	05/02/2010	05/02/2010	1	19	3	19
329962	edred	18	16	1	1	0	0	08/07/2010	08/08/2010	2	19	17	9.5
346345	RutgerNijlunsing	18	17	0	0	0	0	09/07/2011	09/14/2011	7	18	17	2.5714285714285716
44487	leatos	17	14	1	1	0	0	06/07/2008	06/07/2008	1	18	15	18
30140	gps60	18	0	0	0	0	0	04/15/2008	04/15/2008	1	18	0	18
8943	Fopper	0	0	0	0	18	0	01/21/2008	07/11/2011	1268	18	0	0.014195583596214511
87062	KaChing_Cacher	15	15	3	3	0	0	08/18/2011	08/18/2011	1	18	18	18
39086	AlexeyS	0	0	0	0	18	0	05/19/2010	09/08/2011	477	18	0	0.03773584905660377
158761	Lennart Huizing	9	1	9	1	0	0	08/16/2009	08/16/2009	1	18	2	18
209266	ghard	18	9	0	0	0	0	12/17/2009	12/17/2009	1	18	9	18
220476	menu	11	4	7	1	0	0	01/17/2010	01/17/2010	1	18	5	18
253082	Mcke	0	0	0	0	18	1	10/31/2010	08/23/2011	297	18	1	0.06060606060606061
3059	user_3059	16	0	1	0	0	0	03/10/2008	03/10/2008	1	17	0	17
19189	whittier	8	1	9	0	0	0	11/15/2007	11/15/2007	1	17	1	17
110076	GPS-Marco	0	0	0	0	17	0	04/08/2009	12/30/2010	632	17	0	0.02689873417721519
16699	Ben Op Weg	0	0	17	0	0	0	11/11/2007	11/11/2007	1	17	0	17
31118	Lulu-Ann	13	0	4	0	0	0	07/08/2009	07/23/2009	15	17	0	1.1333333333333333
87879	src1138	14	4	3	1	0	0	03/30/2009	03/30/2009	1	17	5	17
138682	wiag	13	2	3	0	0	0	06/24/2009	06/24/2009	1	16	2	16
505199	ru-Spider	4	4	12	12	0	0	08/12/2011	08/12/2011	1	16	16	16
82165	JJI	11	1	5	0	0	0	11/27/2008	11/27/2008	1	16	1	16
